"Name","Progress","ProDetail","KnowledgeType","Topic","Summary","Priority","Category","CATE_CODE","Author",,"CN","EN"
"Mining of Massive Datasets",0.01,"PartialReading",,,0,0,"Data Science","DAT",,,"P","NO"
"Mining the Social Web",0.01,"PartialReading",,,0,0,"Data Science","DAT"," Matthew A. Russell",,"P","NO"
"Doing Data Science",0.05,"PartialReading",,,0,0,"Data Science","DAT"," Cathy O'Neil",,"P","NO"
"Humanities Data in R",0.5,"PartialReading",,,0,0,"Data Science","DAT","Taylor Arnold",,"P","NO"
"Political Analysis Using R",1,"ThroughReading",,,0,0,"Data Science","DAT","James E. Monogan III",,"P","NO"
"Practical Text Analytics: Interpreting Text and Unstructured Data for Business Intelligence",0.01,"PartialReading",,,0,0,"Data Science","DAT","Steven Struhl",,"P","NO"
"男人这东西",0.5,"PartialReading",,,0,0,"Gender","GND","渡边淳一",,"P","NO"
"完全出轨手册",1,"ThroughReading",,,0,0,"Gender","GND",,,"P","NA"
"享受单身",1,"ThroughReading",,,0,0,"Gender","GND",,,"P","NO"
"滚床单心理学",1,"ThroughReading",,,0,0,"Gender","GND",,,"P","NO"
"迎男而上",1,"ThroughReading",,,0,0,"Gender","GND","燕公子",,"P","NA"
"世界简史 ",0.01,"PartialReading",,,0,0,"History","HTY",,,"P","NA"
"传说时代 · 夏 · 商 · 西周",0.01,"PartialReading",,,0,0,"History","HTY",,,"P","NO"
"忽必烈大帝 ",0.01,"PartialReading",,,0,0,"History","HTY",,,"P","NO"
"人类简史——从动物到上帝[Sapiens: A Brief History of Humankind]",0.02,"PartialReading",,,0,0,"History","HTY","Yuval Noah Harari",,"P","NO"
"美国人民 —— 创建一个国家和一种社会（上卷 1492-1877 年第六版）",0.05,"PartialReading",,,0,0,"History","HTY",,,"P","NO"
"人类的故事 (the history of mankind)",0.1,"PartialReading",,,0,0,"History","HTY","Hendrik Willem Van Loon",,"P","NO"
"何苦生在帝王家（大清公主命运实录 )",0.1,"PartialReading",,,0,0,"History","HTY",,,"P","NO"
"《大国崛起》系列丛书 —— 日本",0.2,"PartialReading",,,0,0,"History","HTY",,,"P","NO"
" 第三帝国的兴亡 (The Rise and Fall of the Third Reich)",0.25,"PartialReading",,,0,0,"History","HTY","William L.Shirer ",,"P","NO"
"上帝之鞭阿提拉 —— 挑战罗马帝国的匈人王",0.3,"PartialReading",,,0,0,"History","HTY",,,"P","NO"
"百家讲坛 —— 说雍正",1,"ThroughReading",,,0,0,"History","HTY",,,"P","NO"
"《大国崛起》系列丛书 ——美国",1,"ThroughReading",,,0,0,"History","HTY",,,"P","NA"
"《大国崛起》系列丛书 —— 俄罗斯 ",1,"ThroughReading",,,0,0,"History","HTY",,,"P","NA"
"Reading on road (American history)",1,"ThroughReading",,,0,0,"History","HTY",,,"P","NA"
"历史的胭脂痕迹 : 触摸历史上命运多舛的红颜背后",1,"ThroughReading",,,0,0,"History","HTY",,,"P","NO"
"历史深处的忧虑－近距离看美国之一",1,"ThroughReading",,,0,0,"History","HTY",,,"P","NA"
"总统是靠不住的 - 近距离看美国之二",1,"ThroughReading",,,0,0,"History","HTY",,,"P","NA"
"我也有一个梦想－近距离看美国之三",1,"ThroughReading",,,0,0,"History","HTY",,,"P","NA"
"如彗星划过夜空 - 近距离看美国之四",1,"ThroughReading",,,0,0,"History","HTY",,,"P","NA"
"《大国崛起》系列丛书 —— 德国",1,"ThroughReading",,,0,0,"History","HTY",,,"P","NA"
"武则天正传",1,"ThroughReading",,,0,0,"History","HTY","林语堂",,"P","P"
"宗教简史 (A Brief History of Religion)",1,"ThroughReading",,,0,0,"History","HTY",,,"P","NA"
"美国无法忘却的罪恶 —— 美利坚风雨二百年",1,"ThroughReading",,,0,0,"History","HTY",,,"P","NO"
"探索古文明系列 —— 木乃伊",1,"ThroughReading",,,0,0,"History","HTY",,,"P","NA"
"木乃伊：法老时代的生与死",1,"ThroughReading",,,0,0,"History","HTY","覃东",,"P","NA"
"秦风作品系列——秦风老照片馆",1,"ThroughReading",,,0,0,"History","HTY",,,"P","NA"
"邓小平时代",1,"ThroughReading",,,0,0,"History","HTY","傅高义",,"P","NO "
"论中国(On China)",1,"ThroughReading",,,0,0,"History","HTY","基辛格",,"P","NO"
"《大国崛起》系列丛书 —— 法国",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NO"
"《大国崛起》系列丛书 —— 西班牙 / 葡萄牙",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NO"
"《大国崛起》系列丛书 —— 荷兰",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NO"
"亚洲简史 ",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NO"
"Universal history of world",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NO"
"彩色人文历史 —— 文学的历史",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NO"
"传播学史：一种传记式的方法",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NO"
"中国美术史",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NO"
"西方美术史",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NO"
"美洲简史",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NO"
"欧洲艺术史",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NO"
"1949 伯力大审判 —— 侵华日军使用细菌武器案庭审实录",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NO"
"彩色人文历史 —— 演艺的历史",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NA"
"影响人类历史的大审判",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NA"
"总统的力量 —— 从殖民地到超级大国",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NA"
"资治通鉴",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NA"
"20 世纪的精神教训",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NO"
"阿连德家族",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NO"
"茶叶之路    (The Tea Road China and Russia Meet Across the Steppe) ",0,"HaveNotRead",,,0,0,"History","HTY","Martha Avery",,"P","NO"
"百年文字狱",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NO"
"何兆武文集——历史与历史学",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","NA"
"琉璃宫史",0,"HaveNotRead",,,0,0,"History","HTY",,,"P","P"
"春秋大义",0,"HaveNotRead",,,0,0,"History","HTY","熊毅",,"P","P"
"战争改变历史 (War Made New)",0,"HaveNotRead",,,0,0,"History","HTY","Max Boot",,"P","NA"
"机器学习",0.5,"PartialReading",,,0,0,"IT","IT",,,"P","NA"
"Hadoop: The Definitive Guide ",0,"HaveNotRead",,,0,0,"IT","IT","Tom White",,"P","NA"
"云计算与分布式系统:从并行处理到物联网(英 文版)",0,"HaveNotRead",,,0,0,"IT","IT",,,"P","NA"
"算法之道(第2版)",0,"HaveNotRead",,,0,0,"IT","IT",,,"P","NA"
"计算机原理简明教程  ",0,"HaveNotRead",,,0,0,"IT","IT",,,"E","NA"
"构建云应用:概念、模式和实践(详述如何打造性 能、可扩展性、可用性俱佳的云计算架构模式)(云计算技术系列丛书) ",0,"HaveNotRead",,,0,0,"IT","IT",,,"P","NO"
"Learning Python",0,"HaveNotRead",,,0,0,"IT","IT","Mark Lutz",,"P","NA"
"中国法律法规中英对照系列4——中国公司企业法律法规（中英对照法规）",0.2,"PartialReading",,,0,0,"Law","LAW",,,"P","NA"
"高等学校法学双语教材——国际法（英文版） ",0,"HaveNotRead",,,0,0,"Law","LAW",,,"P","NA"
"高等学校双语教材－国际商法 第二版 （英文版） ",0,"HaveNotRead",,,0,0,"Law","LAW",,,"p","NO"
"中国法律法规中英对照系列5——中国对外贸易与经济合作法律法规（中英对照法规）",0,"HaveNotRead",,,0,0,"Law","LAW",,,"NA","P"
"Inside the Jury",0,"HaveNotRead",,,0,0,"Law","LAW","Hastie Reid & Steven D. Penrod &  Nancy Pennington",,"NA","P"
"现代家庭实用宝典——中草药大全",0.01,"ReferenceBook",,,0,0,"Medicine","MED",,,"NA","P"
"鲁滨逊漂流记",1,"ThroughReading",,,0,0,"Novel","NVL",,,"NA","P"
"海底两万里",1,"ThroughReading",,,0,0,"Novel","NVL",,,"E","P"
"倾城之恋",1,"ThroughReading",,,0,0,"Novel","NVL","张爱玲",,"E","NO"
"半生缘",1,"ThroughReading",,,0,0,"Novel","NVL","张爱玲",,"P","NO"
"沉香屑 第一炉香",1,"ThroughReading",,,0,0,"Novel","NVL","张爱玲",,"P","NA"
"多少恨",1,"ThroughReading",,,0,0,"Novel","NVL","张爱玲",,"P","NO"
"金锁记",1,"ThroughReading",,,0,0,"Novel","NVL","张爱玲",,"P","NA"
"红玫瑰与白玫瑰",1,"ThroughReading",,,0,0,"Novel","NVL","张爱玲",,"P","NA"
"小艾",1,"ThroughReading",,,0,0,"Novel","NVL","张爱玲",,"P","NA"
"连环套",1,"ThroughReading",,,0,0,"Novel","NVL","张爱玲",,"P","NO"
"创世纪",1,"ThroughReading",,,0,0,"Novel","NVL","张爱玲",,"P","NO"
"浮花浪蕊",1,"ThroughReading",,,0,0,"Novel","NVL","张爱玲",,"P","NA"
"福尔摩斯探案集",1,"ThroughReading",,,0,0,"Novel","NVL","柯南道尔",,"P","P"
"希区柯克集",1,"ThroughReading",,,0,0,"Novel","NVL","希区柯克",,"P","NO"
"欧亨利短篇小说集",1,"ThroughReading",,,0,0,"Novel","NVL","欧亨利",,"P","NA"
"茶花女",1,"ThroughReading",,,0,0,"Novel","NVL","小仲马",,"E","P"
"傲慢与偏见(Pride and Prejudice)",1,"ThroughReading",,,0,0,"Novel","NVL","Jane Austen",,"E","P"
"巴黎圣母院",1,"ThroughReading",,,0,0,"Novel","NVL","雨果",,"E","P"
"钢铁是怎样炼成的",1,"ThroughReading",,,0,0,"Novel","NVL","尼古拉.奥斯特洛夫斯基",,"NO","P"
"童年",1,"ThroughReading",,,0,0,"Novel","NVL","高尔基",,"P","NO"
"在人间",1,"ThroughReading",,,0,0,"Novel","NVL","高尔基",,"P","NA"
"我的大学",1,"ThroughReading",,,0,0,"Novel","NVL","高尔基",,"P","NO"
"老人与海(The Old Man and The Sea)",1,"ThroughReading",,,0,0,"Novel","NVL"," Ernest Hemingway",,"P","NA"
"三国演义",1,"ThroughReading",,,0,0,"Novel","NVL",,,"E","NA"
"Complete Novels of Mark Twain",0.5,"PartialReading",,,0,0,"Novel","NVL","Mark Twain",,"P","NA"
"For Whom the Bell Tolls ",0,"HaveNotRead",,,0,0,"Novel","NVL"," Ernest Hemingway",,"P","P"
"In Cold Blood",0,"HaveNotRead",,,0,0,"Novel","NVL","Truman Capote",,"P","NO"
"安娜·卡列尼娜（中英对照缩写）",0.01,"PartialReading",,,0,0,"Novels and Plays","NVL",,,"P","P"
"中国传奇",0.2,"PartialReading",,,0,0,"Novels and Plays","NVL",,,"P","NO"
"孤独之酒",0.2,"PartialReading",,,0,0,"Novels and Plays","NVL",,,"P","P"
"白夜",0.5,"PartialReading",,,0,0,"Novels and Plays","NVL","陀思妥耶夫斯基",,"P","NO"
"白痴",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","陀思妥耶夫斯基",,"P","P"
"Unbearable Lightness of Being",1,"ThroughReading",,,0,0,"Novels and Plays","NVL"," Milan Kundera",,"P","P"
"One Hundred Years of Solitude-百年孤独",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","Gabriel García Márquez",,"P","NA"
"The Lover ",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","Marguerite Duras",,"P","NO"
"La Musica",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","Marguerite Duras",,"P","NO"
"Eden Cinema",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","Marguerite Duras",,"P","NO"
"Savannah Bay",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","Marguerite Duras",,"P","NO"
"India Song",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","Marguerite Duras",,"P","NO"
"Laughable Loves",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","Milan Kundera",,"P","P"
"Ignorance ",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","Milan Kundera",,"P","NO"
"Slowness",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","Milan Kundera",,"P","NO"
"Identity",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","Milan Kundera",,"P","NO"
"Immortality",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","Milan Kundera",,"P","NA"
"Jacques and his Master",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","Milan Kundera",,"P","NA"
"Arch of Triumph",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,,"P","NA"
"活着",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","余华",,"P","NA"
"最后的情人",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,,"P","NO"
"L'Assommoir",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","Émile Zola",,"P","NO"
"面孔之舞",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,,"P","NA"
"社交舞",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,,"P","NA"
"An Iceland Fisherman",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","Pierre Loti",,"P","NA"
"Madame Chrysanthème",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","Pierre Loti",,"P","NO"
"连环",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","亦舒",,"P","NO"
"The Confession of a Child of the Century",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","Alfredde Musset",,"P","P"
"Night",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,,"E","P"
"床上的爱丽斯-苏珊.桑塔格文选(八幕剧)",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,,"E","P"
"The Little Prince",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,,"P","NO"
"White Death",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,,"P","NO"
"Mark Twain: Pudd' nhead Wilson ",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,,"P","NO"
"Selected Short Stories of O Henry",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","O Henry",,"E","NO"
"动物凶猛",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","杨朔",,"P","NA"
"水岸",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","丹羽",,"P","NA"
"女记",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,,"E","P"
"Selected Short Stories of Washington Irving",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","Washington Irving",,"E","NO"
"安格思首部曲:传奇初现",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,,"P","NA"
"小人得志",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,,"P","NO"
"温莎墓园日记",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","木心",,"NA","P"
"世事如烟",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","余华",,"P","P"
"佛经故事",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,,"P","NO"
"长生殿 (The Palace of Eternal Youth)",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,,"P","NA"
"灵魂饭",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","余华",,"P","NO"
"琴声如诉",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,,"P","NO"
"王小波小说全集——早期作品/唐人故事/似水柔情",1,"ThroughReading",,,0,0,"Novels and Plays","NVL","王小波",,"P","NO"
"三寸金莲",1,"ThroughReading",,,0,0,"Novels and Plays","NVL",,,"P","NO"
"被欺凌与被侮辱的",0,"HaveNotRead",,,0,0,"Novels and Plays","NVL",,,"P","NO"
"Message in a Bottle",0,"HaveNotRead",,,0,0,"Novels and Plays","NVL","NichoIas Sparks",,"P","NO"
"美国佬",0,"HaveNotRead",,,0,0,"Novels and Plays","NVL",,,"E","NO"
"Digital Fortress",0,"HaveNotRead",,,0,0,"Novels and Plays","NVL","Dan Brown",,"P","NO"
"We are Decoys  Baby",0,"HaveNotRead",,,0,0,"Novels and Plays","NVL","Elfriede Jeline",,"P","NA"
"纪德小说选(Selected Short Stories of Gide)",0,"HaveNotRead",,,0,0,"Novels and Plays","NVL","Guillaume Gide",,"P","NA"
"马语者(The Horse Whisperer)",0,"HaveNotRead",,,0,0,"Novels and Plays","NVL","Nicholas Evans",,"P","NO"
"William Sharkspeare Tragedy",0,"HaveNotRead",,,0,0,"Novels and Plays","NVL","William Sharkspeare ",,"P","NO"
"William Sharkspeare Comedy ",0,"HaveNotRead",,,0,0,"Novels and Plays","NVL","William Sharkspeare ",,"P","NA"
"The Murder of Roger Ackroyd",0,"HaveNotRead",,,0,0,"Novels and Plays","NVL","Agatha Christie",,"P","NA"
"Nemesis",0,"HaveNotRead",,,0,0,"Novels and Plays","NVL","Agatha Christie",,"P","NO"
"The Murder at The Vicarage",0,"HaveNotRead",,,0,0,"Novels and Plays","NVL","Agatha Christie",,"P","NA"
"They Do It with Mirrors",0,"HaveNotRead",,,0,0,"Novels and Plays","NVL","Agatha Christie",,"P","NA"
"宋明平话选",0,"HaveNotRead",,,0,0,"Novels and Plays","NVL",,,"P","NO"
"天香",0,"HaveNotRead",,,0,0,"Novels and Plays","NVL","王安忆",,"P","NA"
"世界十大古典喜剧故事",0,"HaveNotRead",,,0,0,"Novels and Plays","NVL",,,"P","NA"
"Twelve Plays by Shakespeare",0,"HaveNotRead",,,0,0,"Novels and Plays","NVL","William Sharkspeare ",,"P","NA"
"The Chalk Circle Man",1,"ThroughReading",,,0,0,"Novels and Plays-detective","NVL","The Chalk Circle Man",,"P","NO"
"The Last Coyote",1,"ThroughReading",,,0,0,"Novels and Plays-detective","NVL","The Last Coyote",,"P","NO"
"The Moving Finger",1,"ThroughReading",,,0,0,"Novels and Plays-detective","NVL","Agatha Christie",,"P","NA"
"旧墨记--世纪学人的墨迹与往事",0.01,"PartialReading",,,0,0,"Other","OTH",,,"P","NA"
"Hillary's English-speaking World",0.3,"PartialReading",,"Public Speaking",0,0,"Other","OTH",,,"P","NA"
"西方元典——西方经典电影(Western Films)",0.4,"PartialReading",,,0,0,"Art","ART",,,"NA","P"
"K文件(1)",0.5,"PartialReading",,,0,0,"Other","OTH",,,"NO","P"
"冰鉴",0.5,"PartialReading",,,0,0,"Other","OTH",,,"NO","P"
"女人说话",1,"ThroughReading",,,0,0,"Other","OTH",,,"NO","P"
"世界上最疼我的那个人去了",1,"ThroughReading",,,0,0,"Other","OTH",,,"E","P"
"闲看水浒：字缝里的梁山规则与江湖世界",1,"ThroughReading",,"Worldly wisdom",0,0,"Other","OTH",,,"E","P"
"不畏将来不念过去",1,"ThroughReading",,,0,0,"Other","OTH","十二",,"P","NO"
"裸女",0,"HaveNotRead",,,0,0,"Other","OTH",,,"E","P"
"翻译理论与实务丛书——跨文化旅游翻译",0,"HaveNotRead",,,0,0,"English","ENG",,,"E","NO"
"典籍英译研究(Studies on Translation of Chinese Classics into English)",0,"HaveNotRead",,,0,0,"English","ENG",,,"E","NO"
"季羡林谈翻译",0,"HaveNotRead",,,0,0,"English","ENG",,,"E","NA"
"美国白宫千年晚会演讲选集 ",0.1,"PartialReading",,"Public Speaking",0,0,"Other","OTH",,,"E","NO"
"The Adaptive Decision Maker ",0,"HaveNotRead",,,0,0,"Other","OTH"," John W Payne",,"E","NO"
"How Not to Be Wrong: The Power of Mathematical Thinking ",0,"HaveNotRead",,,0,0,"Other","OTH","Jordan Ellenberg",,"E","NO"
"The World Atlas of Wine 7th Edition",0.01,"ReferenceBook",,"Wine",0,0,"Art","ART","Hugh Johnson",,"E","NO"
"Delivering knock your socks off service",0,"HaveNotRead",,,0,0,"Other","OTH",,,"P","NO"
"异类(Outliers)",1,"ThroughReading","Fastfood-knowledge",,0,0,"Other","OTH","Malcolm Gladwell",,"P","NA"
"What If?: Serious Scientific Answers to Absurd Hypothetical Questions",0.3,"PartialReading",,,0,0,"Other","OTH","Randall Munroe",,"P","NO"
"xkcd: volume 0",0.3,"PartialReading",,,0,0,"Other","OTH","Randall Munroe",,,"P"
"我读《易经》(上)(Book Of Changes I)",0.01,"PartialReading",,,0,0,"Philosophy and Psychology","PPY",,,"P","P"
"北大哲学门经典文萃——冯友兰选集",0.01,"PartialReading",,,0,0,"Philosophy and Psychology","PPY","冯友兰",,"P","NO"
"南怀瑾选集第三卷易经杂说易经系传别讲",0.01,"PartialReading",,,0,0,"Philosophy and Psychology","PPY","南怀瑾",,"P","NO"
"正义之心",0.01,"PartialReading",,,0,0,"Philosophy and Psychology","PPY",,,"P","NO"
"推理的迷宫(Labyrinths  of Reason)",0.01,"PartialReading",,,0,0,"Philosophy and Psychology","PPY","William Poundstone",,"P","NA"
"漫画中国思想（蔡志忠漫画经典精选）",0.02,"PartialReading",,,0,0,"Philosophy and Psychology","PPY",,,"P","NO"
"社会心理学",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY",,,"P","NO"
"心理学与生活",0.02,"PartialReading",,,0,0,"Philosophy and Psychology","PPY",,,"P","P"
"庄子諵譁.上",0.02,"PartialReading",,,0,0,"Philosophy and Psychology","PPY","南怀瑾",,"P","P"
"乌合之众(The Crowd)",0.05,"PartialReading",,,0,0,"Philosophy and Psychology","PPY","Gustave Le Bon",,"P","NO"
"身份的焦虑(Status Anxiety)",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","Alain de Botton",,"P","NO"
"智慧社会 (Social Physics)",0.2,"PartialReading",,,0,0,"Philosophy and Psychology","PPY","Alex Pentland  ",,"E","NA"
"叙事疗法",0.2,"PartialReading",,,0,0,"Philosophy and Psychology","PPY",,,"P","P"
"亲密的陌生人",0.2,"PartialReading",,,0,0,"Philosophy and Psychology","PPY",,,"P","P"
"逻辑学(Science of Logic)",0.3,"PartialReading",,,0,0,"Philosophy and Psychology","PPY","Hegel",,"P","P"
"Confucius Said ",0.3,"PartialReading",,,0,0,"Philosophy and Psychology","PPY","Tom Te-wu Ma",,"P","NA"
"天才在左疯子在右",0.3,"PartialReading",,,0,0,"Philosophy and Psychology","PPY","高铭",,"P","NA"
"做一名优秀的心理咨询师",0.5,"PartialReading",,,0,0,"Philosophy and Psychology","PPY",,,"P","NA"
"逃避自由(Escape from Freedom)",1,"ThroughReading","Meta-Knowledge",,0,0,"Philosophy and Psychology","PPY","Erich Fromm",,"P","NA"
"幸福之路",1,"ThroughReading","Hard-knowledge",,0,0,"Philosophy and Psychology","PPY","罗素",,"P","NA"
"武士道(Bushido) ",1,"ThroughReading","Hard-knowledge",,0,0,"Philosophy and Psychology","PPY"," Jnazo Nitobe",,"P","P"
"博伽梵歌",1,"ThroughReading","Hard-knowledge",,0,0,"Philosophy and Psychology","PPY",,,"P","NA"
"道德箴言录",1,"ThroughReading","Hard-knowledge",,0,0,"Philosophy and Psychology","PPY","La Rochefoucald",,"P","NA"
"Idle Thoughts of an Idle Fellow",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","Jerome K.Jerome",,"P","NA"
"南怀瑾谈心兵难防",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","南怀瑾",,"P","NA"
"Tolerance",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","Hendrik Willem Van Loon",,"P","NA"
"On Old Age",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","Cicero Marcus Tullius",,"P","P"
"On Friendship",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","Cicero Marcus Tullius",,"P","NA"
"On the Laws",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","Cicero Marcus Tullius",,"P","NA"
"On the Nature of the Gods",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","Cicero Marcus Tullius",,"P","NA"
"中庸洞见(An Insight of Chung-yung)",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","Tu Wei-ming",,"NA","P"
"欲望之源",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY",,,"P","NA"
"论雄辩",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","François Fénelon",,"P","P"
"亡灵对话录",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","François Fénelon",,"E","NA"
"南怀瑾选集（第二卷）",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","南怀瑾",,"P","P"
"老子他说",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","南怀瑾",,"P","NA"
"百喻经(一部古老的佛教寓言经典)",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY",,,"P","NA"
"图解心理学",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY",,,"P","NA"
"重负与神恩(Gravity and Grace) ",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","Simone Weil",,"P","NA"
"名家集注孙子兵法",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY",,,"P","NA"
"谢尔顿作品集——众神的风车",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","谢尔顿",,"P","NA"
"了凡四训",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","袁了凡",,"P","NA"
"欲望心理学：看人看到骨头里",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY",,,"P","NA"
"人格心理学 (Personality)",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","Jerry M. Burger",,"P","NA"
"Escape from Freedom",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY"," Erich Fromm",,"P","NO"
"The Art of Loving(爱的艺术)",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY"," Erich Fromm",,"P","NA"
"Predictably Irrational(怪诞行为学)",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY"," Dan Ariely",,"P","NA"
"反直觉思考",1,"ThroughReading","Hard-knowledge","Critical Thinking-Rational",0,0,"Philosophy and Psychology","PPY",,,"P","NO"
"直面内心的恐惧",1,"ThroughReading","Hard-knowledge",,0,0,"Philosophy and Psychology","PPY",,,"E","P"
"选择的悖论",1,"ThroughReading","Hard-knowledge",,0,0,"Philosophy and Psychology","PPY",,,"P","NA"
"Predictably Irrational2",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY"," Dan Ariely",,"P","NA"
"三十六计",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY",,,"P","NA"
"乐观的偏见(The Optimism Bias)",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","Tali Sharot",,"P","NA"
"不靠谱的心理学(Psychobabble)",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","Stephen Briers",,"P","NA"
"清醒思考的艺术",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","罗尔夫.多贝里",,"P","NO"
"邪恶人性(People of the lie)",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY","Scott Parker",,"P","NO"
"Being Mortal",1,"ThroughReading",,,0,0,"Philosophy and Psychology","PPY",,,"P","NA"
"Leviathan",0,"HaveNotRead",,,0,0,"Philosophy and Psychology","PPY","Thomas Hobbes",,"P","NA"
"卢梭文集(The Eassys by Rousseau)",0,"HaveNotRead","Meta-Knowledge",,0,0,"Philosophy and Psychology","PPY","Bertrand Russell",,"P","NA"
"叔本华文选(Selected Readings of Schopenhauer) ",0,"HaveNotRead","Meta-Knowledge",,0,0,"Philosophy and Psychology","PPY","Schopenhauer",,"P","NO"
"纯粹理性批判(The Critique of Pure Reason)",0,"HaveNotRead","Meta-Knowledge",,0,0,"Philosophy and Psychology","PPY","Kant",,"P","NA"
"理想国(Republic) ",0,"HaveNotRead","Meta-Knowledge",,0,0,"Philosophy and Psychology","PPY","Plato",,"P","NA"
